# Input Constellation (Transmitted)
# Real Imaginary
3 3
-1 3
3 3
-3 3
-3 -3
3 -1
-1 1
-1 -3
-1 -3
-3 -3
1 -3
-1 -1
3 1
-1 -3
-1 3
-3 3
1 -3
-3 3
3 3
1 3
-3 3
-1 -3
3 -3
-3 -3
3 3
-3 -1
-1 1
3 3
3 3
-3 3
-3 3
1 -1
-3 -3
1 1
3 -1
-1 -1
-3 -1
-3 3
-1 1
-1 -3
-1 -3
3 -3
-1 1
1 3
-1 3
-1 -1
3 3
3 1
3 3
1 3
3 1
-1 1
-3 1
3 -3
-3 -1
-3 -1
3 -3
-1 1
3 -3
1 1
1 3
3 -1
1 3
-3 1
1 -3
3 -3
3 -3
1 -3
1 -1
-1 3
1 -3
-1 -3
1 -3
1 1
1 -3
1 -3
1 -3
-1 -3
-3 3
1 3
-3 -3
1 3
3 -1
3 -1
-3 1
3 -3
-3 -3
-1 -1
1 -3
1 -1
-1 -3
-1 -3
-1 3
-3 3
-3 1
3 3
-1 -1
1 1
1 -3
-3 1
-3 3
1 3
-3 1
-1 3
1 3
1 -1
-3 1
1 3
-3 -1
3 -1
-3 -3
3 -3
-3 1
3 3
-1 3
3 -3
1 3
-1 1
1 -1
-1 -1
-1 1
-1 3
-3 -3
3 -1
3 -1
1 1
-1 1
1 -1
1 -1
-1 3
1 3
3 -1
1 -3
-1 -3
3 3
-1 1
3 -1
1 3
-1 3
-1 3
3 -3
3 -1
1 1
-3 -1
3 3
-3 1
1 1
-1 3
3 1
1 -1
-3 -1
-1 -3
-1 3
1 1
3 3
3 1
1 -1
-3 1
3 1
-3 -1
-1 1
-1 -1
-1 3
-1 1
-1 1
-3 -1
3 -1
-3 3
3 -3
-3 -1
-3 -3
3 3
1 3
1 3
1 -1
-1 1
-1 -3
1 3
-1 -3
3 -1
3 1
-3 1
-1 3
3 1
3 -3
1 -1
3 1
-3 1
1 -1
-1 1
-3 -3
3 1
3 1
-1 3
-3 -1
-1 -3
3 -3
1 1
-1 -3
1 -3
1 -1
1 -1
-3 3
-3 -3
3 1
1 -3
1 -3
-1 -1
-1 -3
3 3
-1 -3
-3 3
-1 1
3 3
-1 3
-1 1
-3 -1
3 3
-3 1
-1 -1
3 -3
3 1
3 -1
-3 -3
3 -3
1 1
3 3
1 1
1 3
1 -3
1 3
1 1
3 -1
3 3
-3 -3
1 -1
3 3
1 -1
1 -3
3 -1
1 1
-3 -3
3 1
1 3
1 3
-1 -1
1 1
-1 -1
3 1
3 -3
-1 3
-1 1
-1 3
-1 -3
-1 3
-1 3
1 3
3 -3
-3 1
-3 -3
-3 3
3 -3
3 -3
3 3
3 -1
-3 1
3 1
3 -3
1 -3
-3 -3
3 3
1 -1
-3 -1
-3 -3
1 1
3 -3
1 -1
-1 -3
-1 -1
-3 -1
-3 1
1 -1
1 -1
-3 1
3 -1
-1 -3
1 -1
-3 3
-3 3
1 -3
-1 3
3 1
3 -1
-3 1
-1 -3
1 3
3 -1
-1 3
-1 3
3 -1
3 -1
1 1
1 3
-3 -1
-1 1
-1 1
-3 -3
-1 1
-1 3
-1 1
3 -3
3 3
3 -3
1 3
-3 1
-3 -3
3 -1
3 -3
-1 -1
-3 3
-3 3
-1 -1
1 -3
3 -3
1 -3
1 1
-3 -1
-1 -3
-3 -3
3 1
-3 3
-1 -1
-3 -3
3 -3
-3 1
-1 -1
-1 -1
-3 -3
1 3
3 -3
1 3
-3 3
-3 -3
1 1
-1 -1
-1 -1
3 3
3 -1
1 1
1 -1
1 -3
1 3
3 -1
-3 1
3 1
-1 -3
1 -3
3 3
1 3
-1 3
1 -3
-3 -3
1 -3
3 3
3 1
-1 1
3 3
3 -3
1 3
-1 1
1 1
3 -3
3 3
1 -3
-1 1
1 3
-1 -3
1 -3
-3 1
-1 3
-3 1
-1 -1
-3 -1
-3 3
-3 1
-1 3
-3 1
3 -1
3 -3
1 3
-3 -3
1 1
-1 -3
-3 -3
-1 -1
1 3
3 -1
1 1
-1 -3
-3 -3
-3 3
-3 -3
-3 3
3 1
3 -1
-3 -3
1 1
3 3
1 -1
-1 3
-1 1
-3 -3
-3 -1
-1 3
-3 1
1 -1
-1 -1
-1 3
3 -1
-1 -3
1 -3
1 3
-1 3
3 -1
-1 3
-1 -3
-3 1
-1 3
1 1
3 -3
1 3
-3 1
1 3
3 -3
-3 -1
-3 3
1 1
-1 -3
-1 1
-3 3
-1 -1
3 3
3 1
1 1
-3 3
3 1
1 1
-3 -1
-3 3
-1 -3
-3 3
-1 3
1 1
1 -3
-3 -3
1 1
-1 -1
-3 3
1 -1
1 1
-1 3
-1 -1
1 1
-3 3
1 -3
1 1
-3 1
-1 1
1 -1
-3 3
-1 -1
3 3
-1 -3
1 1
-1 -1
3 1
3 1
3 -3
-3 -3
3 -1
1 -1
3 1
1 -1
3 1
3 3
-3 -1
-1 -1
1 3
1 -1
-1 3
-3 1
-1 3
1 1
-1 3
3 1
1 1
3 -3
1 -1
-1 1
-3 -1
-1 -1
1 -1
-3 -1
3 -1
-3 1
3 -3
-3 -3
-3 3
3 3
-1 1
3 -1
-1 -1
-1 1
-1 -1
-3 -3
3 3
1 1
3 1
-1 3
1 3
3 3
3 3
-1 3
3 3
1 1
-3 -1
-3 -1
-1 1
3 -3
1 -1
-1 3
-1 -3
-1 -3
1 3
-3 3
-3 -3
-3 3
-3 1
3 -1
1 -3
3 1
-1 3
-3 3
3 3
3 1
3 -3
-3 1
3 -1
-3 -3
-3 3
3 -1
3 3
1 -1
-3 -3
-3 -3
-3 -3
3 1
-1 -1
-3 3
3 1
1 1
3 1
3 -1
-1 -1
1 3
-3 -3
1 -3
-3 3
-1 -1
-3 -1
-3 -1
-3 3
3 1
-3 -1
1 -1
1 -1
-3 3
-3 3
-1 3
3 1
1 -3
1 3
3 3
-1 -3
3 -1
1 1
-3 -1
1 -3
-1 -1
3 1
-3 -3
-1 -3
3 -1
1 -1
1 -1
3 3
-3 -1
1 3
3 -3
3 -3
-1 -3
3 -1
3 3
-1 1
1 -1
3 1
3 1
3 -1
1 1
-1 1
1 -3
3 3
3 3
1 -1
1 -3
-3 3
-1 -1
-1 -3
-3 1
3 3
3 3
1 1
3 3
3 3
3 -3
-3 -1
-1 1
1 1
-3 -1
-3 3
1 -1
1 3
3 -3
-1 3
-3 1
1 1
1 -1
3 1
1 -3
3 -1
-1 3
1 3
3 -3
3 3
-3 3
-3 -1
-1 -1
-3 1
3 3
1 3
-1 3
1 -1
3 3
1 1
-1 1
3 -1
-1 -3
-1 -1
-3 -3
-3 -3
1 -1
-1 3
-1 -1
-1 -1
-1 3
3 3
3 3
3 1
-3 -1
3 1
-1 1
-3 -3
3 -3
-1 -1
1 -3
3 3
-1 -1
1 -3
-1 -1
3 -3
1 -3
-1 -1
3 -1
1 -3
-3 -1
1 1
-1 1
1 -1
-1 -1
-1 -3
-1 1
1 -3
-1 3
1 -3
-3 3
3 3
-1 3
1 -1
1 3
-1 -3
-3 -1
3 -3
3 -3
3 -1
3 3
3 -1
1 -1
-1 1
-1 3
-3 -3
-3 -3
-1 3
3 -1
1 1
1 3
3 -3
-1 1
-1 3
1 -3
-3 3
-1 1
-3 -1
-1 -1
-3 -3
1 3
-1 -1
-1 1
-1 3
-3 -1
3 -3
-3 1
-1 3
-3 -3
-1 -1
1 -1
-1 3
-3 3
3 -1
-1 -3
-1 -3
-1 1
1 -1
3 1
-1 3
3 -1
3 -3
-3 -3
-1 -3
-3 -1
1 1
-1 3
-1 3
3 3
-1 -3
-3 3
1 -3
-3 -1
-3 -3
-3 1
3 1
1 -1
1 1
3 -1
3 -3
-1 -1
3 -3
3 1
1 1
-3 -1
-1 -3
1 3
1 3
-3 3
-1 3
3 1
3 3
1 1
-3 -3
-1 1
1 1
1 3
-1 -1
1 -1
3 -3
-3 3
1 -1
1 -3
3 -1
-3 -3
1 1
1 -3
-3 1
-3 -3
-1 3
-3 1
-1 3
3 -3
-1 -1
1 3
1 1
1 1
3 -1
1 3
-3 1
-3 3
-1 1
-1 -1
1 -3
1 3
3 -1
-3 -1
-1 -1
3 3
-3 1
1 -3
3 1
-1 -1
-1 -1
3 3
-3 1
-1 1
-3 -3
-1 1
-1 -1
3 3
1 3
-1 -1
1 3
-3 1
-3 -3
-1 -3
3 -3
3 3
3 3
1 1
3 -1
3 -3
-3 1
1 -1
3 1
3 -3
-3 -3
1 3
-3 1
-3 1
1 -3
-3 1
-3 1
-3 -3
-3 1
1 -3
-3 -3
3 -1
3 -1
-3 3
-1 3
3 -3
-3 -3
1 -1
3 -1
3 -3
-3 1
3 1
-1 -3
3 1
3 -3
3 3
3 -3
3 -1
-3 3
-3 -1
-1 -3
1 1
-1 1
1 3
3 -3
-3 3
3 3
1 3
3 3
-1 -3
3 -1
-1 -1
3 -3
1 3
-3 3
3 1
-3 3
-3 3
1 3
-3 3
1 3
3 -3
3 -1
-3 3
3 3
-1 1
-3 3
1 -3
-3 1
-1 1
-3 -3
-1 3
-1 3
3 3
-1 1
3 -3
3 -1
3 1
1 -1
-3 1
-3 -1
1 -3
3 3
1 -1
3 1
3 3
1 -3
-3 3
-1 1
-3 3
3 -3
-1 1
3 1
3 3
1 1
3 -1
-1 1
-1 1
3 3
3 -3
-3 -3
3 1
-3 -3
3 1
-3 1
-3 3
3 1
-1 3
1 3
-3 1
-3 3
1 -3
3 3
-3 -3
-1 3
-3 3
-1 -1
-1 -3
-1 3
-1 3
-1 -3
-1 1
1 3
1 1
1 -3
-1 -1
1 1
-3 -3
1 -1
3 -3
-1 3
-1 3
-3 -3
-3 -3
3 3
-1 1
1 -1
-3 -3
-1 1
-1 1
1 -1
3 -1
-3 3
1 -3
1 3
3 -3
3 -1
3 -3
-3 -3
3 -3
1 -3
1 -3
1 -3
-1 3
1 -3
3 -1
-1 3
-1 3
3 1
-3 -3
3 1
-3 3
1 -1
3 1
3 -3
-3 -3
3 1
3 3
3 1
-3 1
3 3
-3 3
-1 1
-3 3
1 -3
3 -3
-3 3
-3 3
3 1
3 1
1 -3
-3 1
1 -3
3 -3
3 -3
-1 1
-3 1
1 -1
-3 3
3 1
-1 -1
-1 3
-1 1
-1 -1
-1 1
-3 -1
3 -1
1 -3
-1 -3
3 3
3 -1
1 1
-1 -1
-1 -3
-1 1
1 1
3 -1
-3 -1
1 3
1 1
3 3
1 -3
3 -3
3 -3
-3 -1
1 1
-1 -1
-3 1
1 -3
1 3
3 -3
-1 1
3 1
-1 -1
-3 -1
-3 1
3 1
-3 3
-3 1
1 1
3 1
1 1
-1 3
-1 -3
3 1
-3 -1
-1 -1
1 3
-3 1
-3 -1
1 -3
-3 -3
-1 -1
-3 1
-3 -1
3 1
-3 3
1 -3
1 -1
1 1
-3 -3
3 -3
1 3
-3 1
-1 -3
-1 1
3 1
-1 -1
-1 -1
-1 3
-1 -3
3 1
-1 -3
3 1
-1 -3
-3 -1
3 -3
3 -1
-3 -3
1 1
1 -1
1 3
3 -1
3 -3
-1 3
1 -3
3 -1
-3 -3
1 3
1 -3
-3 1
1 -1
3 1
3 3
1 -1
-3 -1
-3 3
3 -3
1 -3
-3 -3
-1 -1
-3 -1
3 3
3 3
3 -1
1 -1
3 3
3 -1
1 -3
1 -3
3 -3
-3 1
3 3
1 3
3 3
1 3
-3 1
-3 -1
-3 -3
-3 1
1 3
-1 -1
3 -1
-3 -1
1 -3
1 1
-3 1
-1 1
-1 -3
1 3
-3 3
3 -3
-1 1
-3 1
-1 3
1 -3
1 1
1 -3
3 1
-1 1
-3 -1
-3 -3
3 -3
1 1
-3 3
3 -1
-3 -3
-3 3
-3 3
-3 1
-3 3
-3 1
-1 -3
-1 1
3 1
1 -3
3 1
-3 3
1 -3
-3 -1
-1 1
3 3
3 -1
-3 -1
1 1
3 1
3 3
-3 3
-1 3
-3 -1
1 1
-3 -1
-3 1
-3 -1
3 -3
-1 -1
-1 -3
-1 -1
-1 -1
-1 -3
1 3
3 1
-1 3
-3 -1
3 3
1 3
1 -3
-1 1
-3 1
3 1
-3 -3
-1 -3
-1 -1
-1 -1
1 3
3 3
-3 1
-3 -3
-1 -3
-3 -3
1 1
3 1
-1 -1
1 -3
-3 -1
3 1
1 3
-3 -3
-3 -3
-1 3
1 -1
-3 1
-3 -1
-1 3
1 3
-1 3
-3 3
-3 3
-3 3
-3 3
3 -1
3 1
-1 1
3 -1
-1 3
-3 -3
-3 1
-3 -1
1 -1
-3 1
3 -1
-3 -3
-1 3
1 3
-1 3
-1 -1
1 -3
1 1
3 -1
3 1
1 -1
-1 -1
-1 1
1 -3
3 1
-1 3
3 -1
-1 3
1 3
1 -1
1 1
3 -3
1 3
1 3
-3 -3
3 3
-1 3
-1 -1
3 -1
3 -1
1 -3
-3 -1
-1 -1
-1 1
-1 1
3 -3
3 -1
-3 3
-3 -1
1 -3
-1 -1
1 -3
3 -1
1 1
-1 -3
-1 -1
1 -3
-1 -1
-3 -1
-1 1
-1 3
3 -3
-3 -1
-3 -3
3 -3
-3 -1
-1 3
-3 -1
-3 3
3 3
3 -1
-1 3
1 3
1 3
-3 1
1 -1
-1 1
-1 -3
-1 3
-3 -1
-3 1
3 3
-1 1
-1 -3
1 -1
1 -1
-1 3
3 -1
-1 1
-1 3
-3 -1
-1 3
-3 -1
3 3
-3 3
-3 -3
-1 -3
-1 -3
-1 -3
-3 3
1 -1
1 -3
-3 1
-3 3
1 3
-3 -1
3 3
1 -1
-3 1
3 3
-3 -3
-1 -3
3 -1
-3 3
3 -3
3 -1
-1 -1
3 3
3 -3
1 -3
3 1
3 3
1 -3
1 -3
3 1
-3 -1
-3 -1
-1 -1
-3 3
1 1
1 1
1 1
-3 -3
-3 -3
-1 -3
-3 3
-1 -3
-3 1
3 1
3 3
1 3
-1 3
3 1
1 3
3 1
-3 1
3 3
-1 -3
-3 -1
-3 -1
-1 -3
1 1
1 1
-3 -1
-3 -1
3 1
1 -1
-1 -1
-1 -3
-1 3
1 1
-1 3
3 1
3 -1
3 -1
-3 -3
-3 -3
-1 1
1 1
3 1
1 -1
3 -1
-1 3
1 1
1 3
-1 1
-1 -3
1 -1
3 3
3 -3
-3 -1
3 -3
-3 -3
1 -1
3 1
1 3
1 -1
1 -1
-1 3
-3 3
-3 1
-1 -3
-3 1
3 1
-1 -1
1 3
-3 -1
-3 1
-3 -3
1 3
-1 3
-3 -1
-3 -1
-3 3
1 1
-1 -3
-3 -1
-1 -1
-1 -1
1 3
3 3
-1 -1
-1 -3
-3 -3
3 3
1 -3
1 -3
-3 -3
1 -3
-1 -1
-1 3
-3 3
3 -3
1 -1
3 1
3 -3
-3 1
-1 -1
1 -1
-3 3
-3 -1
1 1
-1 1
3 -1
1 -1
-3 -1
-1 -1
3 -3
-3 -1
3 -1
1 1
3 3
-3 -1
3 -3
3 -3
-3 1
1 1
-1 -1
3 1
-1 3
-1 -3
-3 -1
3 1
-1 3
3 1
-3 3
-3 3
-1 1
1 1
-1 1
-1 3
3 1
1 3
3 1
-1 -1
3 1
1 3
-1 -1
1 -3
-1 -1
3 -1
-1 -3
3 1
1 1
-3 1
3 -1
1 1
1 -3
-1 -1
3 1
-1 -3
1 3
3 1
1 -1
1 3
1 1
-1 3
-1 -3
3 1
-3 -3
3 3
1 -1
-3 -3
-1 3
-1 1
3 -1
3 3
3 3
-3 -3
3 1
-1 3
-1 1
-3 1
1 -1
3 1
1 3
-1 -1
-3 -1
3 -1
-3 -3
-3 -1
3 1
1 1
3 -1
1 -1
1 -3
3 3
1 -1
3 -3
3 1
3 -3
3 -3
1 -1
3 1
1 -1
3 1
1 1
1 -3
3 -3
3 1
1 1
1 -3
-3 3
-3 -3
1 -1
-1 1
-3 -3
-1 1
-1 3
3 1
-3 3
-1 1
1 1
1 -3
3 -1
3 -1
1 1
3 -1
1 -1
-3 -3
3 -1
1 -1
-1 -3
-3 -1
3 1
3 -1
1 -1
-3 -3
1 -3
-1 3
1 -3
-3 -1
3 -3
3 -3
-3 1
3 -1
-1 1
-1 1
1 -1
-1 -3
1 -1
-1 1
3 -3
3 -1
3 -3
3 -3
-3 -3
3 1
1 3
-1 3
-3 1
-3 3
-1 -1
-1 3
3 3
-3 -3
3 -3
-3 -3
-1 1
3 -3
-1 1
1 3
-1 3
-1 1
1 -1
3 1
1 -3
-3 1
-3 -1
-1 3
3 1
3 -1
3 3
-1 -1
-3 -1
1 -3
3 1
-1 3
-3 -3
-1 -1
-3 -1
-3 3
3 -3
1 -1
3 3
-1 1
3 -1
-1 3
1 1
-1 1
1 1
-1 1
3 -1
-1 1
-3 -3
1 3
-3 3
3 -3
1 3
-1 -1
-1 3
-1 1
-1 -3
-1 3
3 -1
3 1
1 1
3 -3
3 1
1 -3
1 1
-1 1
-3 3
1 3
1 1
-1 3
-1 -3
1 -3
